stopTag,stopTitle,stopLat,stopLon
22248,Almond Ln & Meadowbrook Dr (WB),38.5415699,-121.70395
22351,Almond Ln & Willowbank Rd (WB),38.5415599,-121.7063699
22507,Willowbank Rd & Montgomery Ave (SB),38.53883,-121.7067099
22509,Montgomery Ave & Oakside  Dr (WB),38.5388999,-121.7085399
22247,Danbury St & Drummond Ave (NB),38.5401199,-121.7136799
22252,Danbury St & Lillard Dr (NB),38.5424999,-121.71609
22043,Lillard Dr & Evans Ct (WB),38.5417799,-121.71758
22038,Cowell Blvd & Valdora St (WB),38.5401199,-121.7250899
22036,Cowell Blvd & Drew Ave (WB),38.5400399,-121.72754
22034,Cowell Blvd & Research Park S Dr (WB),38.5401199,-121.73021
22242,Richards Blvd & Olive Dr (NB),38.5407999,-121.73832
22341,Drexel Dr & Hemlock Ln (EB),38.5572499,-121.73629
22245,Covell Blvd & Mace Blvd (EB),38.5647999,-121.70003
22037,Cowell Blvd & Drew Ave (EB),38.53974,-121.7268499
22041,Cowell Blvd & Valdora St (EB),38.54023,-121.7239799
22297,Lillard Dr & Cowell Blvd (EB),38.54116,-121.72219
22298,Danbury St & Lillard Ave (SB),38.5421,-121.71601
22311,Danbury St & Drummond Ave (SB),38.5402299,-121.71411
22355,Montgomery Ave & Oakside Dr (EB),38.5387,-121.70844
22508,Willowbank Rd & Montgomery Ave (NB),38.5388999,-121.70658
22506,Willowbank Rd & Almond Ln (EB),38.54134,-121.70641
22505,Almond Ln & Meadowbrook Dr (EB),38.5414699,-121.7037
22504,Almond Ln & Deodara St (EB),38.54198,-121.7009099
22503,Rosario St & Almond Ln (SB),38.5423299,-121.6998399
22500,Rosario St & Torrey St (SB),38.5392399,-121.6992299
22511,Mace Blvd & S El Macero Dr (NB),38.5403999,-121.69435
22354,Mace Blvd & San Marino Dr (NB),38.54394,-121.69433
22353,Mace Blvd & El Macero Dr (NB),38.5465499,-121.69423
22172,Cowell Blvd & Mace Blvd (EB),38.54864,-121.6936
22497,Cowell Blvd & El Cemonte Ave (EB),38.54881,-121.6899699
22498,Cowell Blvd & Schmeiser Ave (EB),38.5499099,-121.68349
22358,Glide Dr & Schmeiser Ave (WB),38.5524299,-121.6843799
22359,Glide Dr & El Cemonte Ave (WB),38.55136,-121.6909599
22352,Chiles Rd & Mace Blvd (WB),38.5510099,-121.69352
22065,Alhambra Dr & Mace Blvd (WB),38.55873,-121.6972199
22236,Alhambra Dr & Caceres Ct (WB),38.5580799,-121.70126
22973,Alhambra Dr & 5th St (WB),38.5582599,-121.7057
22290,Alhambra Dr & Loyola Dr (WB),38.56016,-121.70877
22087,Loyola Dr & Whittier Dr (WB),38.5575999,-121.7273399
22097,Covell Blvd & J St (WB),38.5607399,-121.73808
22113,F St & Covell Blvd (SB),38.56011,-121.7449599
22098,Covell Blvd & J St (EB),38.5604599,-121.73793
22093,Pole Line Rd & Claremont Dr (SB),38.5608299,-121.73121
22086,Loyola Dr & West Regis (EB),38.55749,-121.7263
22089,Loyola Dr & Nutmeg Ln (EB),38.55758,-121.7225299
22090,Loyola Dr & East Regis Dr (EB),38.55772,-121.72
22084,Tulip Ln & Cascade Pl (NB),38.5580699,-121.71719
22083,Temple Dr & Balsam Pl (EB),38.5618,-121.71705
22080,Monarch Ln & Covell Blvd (NB),38.5634299,-121.71444
22291,Alhambra Dr & Loyola Dr (EB),38.5600799,-121.7090099
