route,stop,date,boarding,deboarding
E,Memorial Union (E Line) & Howard Way (NB),2012-10-12,191,2
E,B St & 4th St  (SB),2012-10-12,3,1
E,3rd St & C St (WB),2012-10-12,1,4
E,F St & 5th Street  (NB),2012-10-12,1,4
E,F St & 14th St (NB),2012-10-12,45,37
E,J St & Alice St (SB),2012-10-12,27,14
E,3rd St & C St (EB),2012-10-12,0,4
E,J St & 8th St (SB),2012-10-12,36,14
E,3rd St & E St (EB),2012-10-12,19,28
E,Memorial Union Terminal Arrival & Howard Way (NB),2012-10-12,22,351
E,J St & Menlo Dr (SB),2012-10-12,70,68
E,F St & 8th St (NB),2012-10-12,5,47
E,F St & Covell Blvd (NB),2012-10-12,66,46
E,B St & 4th St (NB),2012-10-12,0,1
E,F St & 4th St  (NB),2012-10-12,5,4
E,3rd St & E St (WB),2012-10-12,3,25
E,8th St & G St (WB),2012-10-12,20,1
E,J St & Drexel Dr (SB),2012-10-12,34,32
E,F St & 8th St (NB),2012-10-15,6,47
E,J St & 8th St (SB),2012-10-15,24,11
E,B St & 4th St  (SB),2012-10-15,1,0
E,J St & Drexel Dr (SB),2012-10-15,40,32
E,F St & 5th Street  (NB),2012-10-15,1,2
E,Memorial Union Terminal Arrival & Howard Way (NB),2012-10-15,0,381
E,F St & Covell Blvd (NB),2012-10-15,72,64
E,F St & 14th St (NB),2012-10-15,62,46
E,J St & Menlo Dr (SB),2012-10-15,92,97
E,Memorial Union (E Line) & Howard Way (NB),2012-10-15,346,0
E,F St & 12th St (NB),2012-10-15,10,19
E,3rd St & E St (EB),2012-10-15,8,9
E,F St & 4th St  (SB),2012-10-15,0,10
E,8th St & G St (WB),2012-10-15,28,0
E,F St & 4th St  (NB),2012-10-15,1,0
E,J St & Alice St (SB),2012-10-15,18,11
E,F St & 8th St  (SB),2012-10-15,14,0
E,3rd St & C St (WB),2012-10-15,0,4
E,3rd St & E St (WB),2012-10-15,0,8
E,F St & 5th Street  (NB),2012-10-16,0,1
E,J St & Drexel Dr (SB),2012-10-16,27,23
E,3rd St & C St (WB),2012-10-16,0,5
E,F St & 14th St (NB),2012-10-16,35,26
E,F St & 12th St (NB),2012-10-16,8,6
E,B St & 4th St  (SB),2012-10-16,1,0
E,3rd St & E St (EB),2012-10-16,8,5
E,Memorial Union (E Line) & Howard Way (NB),2012-10-16,164,0
E,3rd St & E St (WB),2012-10-16,2,5
E,3rd St & C St (EB),2012-10-16,2,1
E,F St & Covell Blvd (NB),2012-10-16,42,31
E,F St & 8th St  (SB),2012-10-16,10,0
E,Memorial Union Terminal Arrival & Howard Way (NB),2012-10-16,0,241
E,J St & Menlo Dr (SB),2012-10-16,45,38
E,8th St & G St (WB),2012-10-16,14,0
E,J St & 8th St (SB),2012-10-16,19,5
E,F St & 4th St  (NB),2012-10-16,1,0
E,F St & 8th St (NB),2012-10-16,4,26
E,J St & Alice St (SB),2012-10-16,22,12
E,3rd St & C St (WB),2012-10-17,0,6
E,F St & 14th St (NB),2012-10-17,51,56
E,J St & Drexel Dr (SB),2012-10-17,37,40
E,Memorial Union (E Line) & Howard Way (NB),2012-10-17,340,0
E,F St & 12th St (NB),2012-10-17,10,22
E,3rd St & C St (EB),2012-10-17,0,1
E,Memorial Union Terminal Arrival & Howard Way (NB),2012-10-17,0,361
E,F St & 8th St  (SB),2012-10-17,17,1
E,B St & 4th St (NB),2012-10-17,1,0
E,F St & Covell Blvd (NB),2012-10-17,66,47
E,F St & 4th St  (SB),2012-10-17,1,4
E,B St & 4th St  (SB),2012-10-17,1,7
E,3rd St & E St (EB),2012-10-17,12,14
E,F St & 8th St (NB),2012-10-17,3,34
E,F St & 5th Street  (NB),2012-10-17,2,1
E,J St & 8th St (SB),2012-10-17,32,8
E,F St & 4th St  (NB),2012-10-17,1,1
E,3rd St & E St (WB),2012-10-17,1,5
E,8th St & G St (WB),2012-10-17,27,0
E,J St & Menlo Dr (SB),2012-10-17,81,81
E,J St & Alice St (SB),2012-10-17,31,17
E,F St & 8th St (NB),2012-10-18,3,57
E,3rd St & E St (EB),2012-10-18,22,17
E,F St & 12th St (NB),2012-10-18,13,18
E,J St & Alice St (SB),2012-10-18,28,23
E,J St & Drexel Dr (SB),2012-10-18,46,44
E,B St & 4th St  (SB),2012-10-18,0,1
E,F St & Covell Blvd (NB),2012-10-18,53,64
E,F St & 14th St (NB),2012-10-18,64,76
E,3rd St & C St (EB),2012-10-18,0,5
E,J St & 8th St (SB),2012-10-18,32,14
E,3rd St & E St (WB),2012-10-18,7,17
E,Memorial Union (E Line) & Howard Way (NB),2012-10-18,412,0
